JSPACE = 0 ; abundances from Jenkins 2009 for C O N /10 and depleted for the heavier elements
   1 H           0  1  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
   2 C           0  0  0  1  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
   3 Fe          0  0  0  0  0  0  0  0  1  0  0  0  0  0  0.00000000e+00
   4 Mg          0  0  0  0  0  0  0  0  0  0  1  0  0  0  0.00000000e+00
   5 S           0  0  0  0  0  0  0  1  0  0  0  0  0  0  0.00000000e+00
   6 Si          0  0  0  0  0  0  1  0  0  0  0  0  0  0  0.00000000e+00
   7 O           0  0  0  0  0  1  0  0  0  0  0  0  0  0  2.60000000e-04
   8 N           0  0  0  0  1  0  0  0  0  0  0  0  0  0  6.20000000e-05
   9 He          0  0  1  0  0  0  0  0  0  0  0  0  0  0  9.00000000e-02
  10 Cl          0  0  0  0  0  0  0  0  0  0  0  1  0  0  0.00000000e+00
  11 Na          0  0  0  0  0  0  0  0  0  1  0  0  0  0  0.00000000e+00
  12 P           0  0  0  0  0  0  0  0  0  0  0  0  1  0  0.00000000e+00
  13 F           0  0  0  0  0  0  0  0  0  0  0  0  0  1  0.00000000e+00
  14 OH          0  1  0  0  0  1  0  0  0  0  0  0  0  0  0.00000000e+00
  15 CO          0  0  0  1  0  1  0  0  0  0  0  0  0  0  0.00000000e+00
  16 CS          0  0  0  1  0  0  0  1  0  0  0  0  0  0  0.00000000e+00
  17 HS          0  1  0  0  0  0  0  1  0  0  0  0  0  0  0.00000000e+00
  18 N2          0  0  0  0  2  0  0  0  0  0  0  0  0  0  0.00000000e+00
  19 NH          0  1  0  0  1  0  0  0  0  0  0  0  0  0  0.00000000e+00
  20 SiH         0  1  0  0  0  0  1  0  0  0  0  0  0  0  0.00000000e+00
  21 SiO         0  0  0  0  0  1  1  0  0  0  0  0  0  0  0.00000000e+00
  22 SO          0  0  0  0  0  1  0  1  0  0  0  0  0  0  0.00000000e+00
  23 CH          0  1  0  1  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  24 O2          0  0  0  0  0  2  0  0  0  0  0  0  0  0  0.00000000e+00
  25 H2          0  2  0  0  0  0  0  0  0  0  0  0  0  0  5.00000000e-01
  26 C2          0  0  0  2  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  27 CN          0  0  0  1  1  0  0  0  0  0  0  0  0  0  0.00000000e+00
  28 MgH         0  1  0  0  0  0  0  0  0  0  1  0  0  0  0.00000000e+00
  29 NaH         0  1  0  0  0  0  0  0  0  1  0  0  0  0  0.00000000e+00
  30 NO          0  0  0  0  1  1  0  0  0  0  0  0  0  0  0.00000000e+00
  31 NS          0  0  0  0  1  0  0  1  0  0  0  0  0  0  0.00000000e+00
  32 PH          0  1  0  0  0  0  0  0  0  0  0  0  1  0  0.00000000e+00
  33 PN          0  0  0  0  1  0  0  0  0  0  0  0  1  0  0.00000000e+00
  34 PO          0  0  0  0  0  1  0  0  0  0  0  0  1  0  0.00000000e+00
  35 S2          0  0  0  0  0  0  0  2  0  0  0  0  0  0  0.00000000e+00
  36 SiC         0  0  0  1  0  0  1  0  0  0  0  0  0  0  0.00000000e+00
  37 SiN         0  0  0  0  1  0  1  0  0  0  0  0  0  0  0.00000000e+00
  38 SiS         0  0  0  0  0  0  1  1  0  0  0  0  0  0  0.00000000e+00
  39 CCl         0  0  0  1  0  0  0  0  0  0  0  1  0  0  0.00000000e+00
  40 CP          0  0  0  1  0  0  0  0  0  0  0  0  1  0  0.00000000e+00
  41 HCl         0  1  0  0  0  0  0  0  0  0  0  1  0  0  0.00000000e+00
  42 HF          0  1  0  0  0  0  0  0  0  0  0  0  0  1  0.00000000e+00
  43 CCH         0  1  0  2  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  44 C3          0  0  0  3  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  45 CH2         0  2  0  1  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  46 SO2         0  0  0  0  0  2  0  1  0  0  0  0  0  0  0.00000000e+00
  47 H2O         0  2  0  0  0  1  0  0  0  0  0  0  0  0  0.00000000e+00
  48 HCN         0  1  0  1  1  0  0  0  0  0  0  0  0  0  0.00000000e+00
  49 HCSi        0  1  0  1  0  0  1  0  0  0  0  0  0  0  0.00000000e+00
  50 CCN         0  0  0  2  1  0  0  0  0  0  0  0  0  0  0.00000000e+00
  51 CCS         0  0  0  2  0  0  0  1  0  0  0  0  0  0  0.00000000e+00
  52 CCO         0  0  0  2  0  1  0  0  0  0  0  0  0  0  0.00000000e+00
  53 CCP         0  0  0  2  0  0  0  0  0  0  0  0  1  0  0.00000000e+00
  54 CO2         0  0  0  1  0  2  0  0  0  0  0  0  0  0  0.00000000e+00
  55 H2S         0  2  0  0  0  0  0  1  0  0  0  0  0  0  0.00000000e+00
  56 HCO         0  1  0  1  0  1  0  0  0  0  0  0  0  0  0.00000000e+00
  57 HCP         0  1  0  1  0  0  0  0  0  0  0  0  1  0  0.00000000e+00
  58 HCS         0  1  0  1  0  0  0  1  0  0  0  0  0  0  0.00000000e+00
  59 HNC         0  1  0  1  1  0  0  0  0  0  0  0  0  0  0.00000000e+00
  60 HNO         0  1  0  0  1  1  0  0  0  0  0  0  0  0  0.00000000e+00
  61 HNSi        0  1  0  0  1  0  1  0  0  0  0  0  0  0  0.00000000e+00
  62 HPO         0  1  0  0  0  1  0  0  0  0  0  0  1  0  0.00000000e+00
  63 HSS         0  1  0  0  0  0  0  2  0  0  0  0  0  0  0.00000000e+00
  64 N2O         0  0  0  0  2  1  0  0  0  0  0  0  0  0  0.00000000e+00
  65 NaOH        0  1  0  0  0  1  0  0  0  1  0  0  0  0  0.00000000e+00
  66 NH2         0  2  0  0  1  0  0  0  0  0  0  0  0  0  0.00000000e+00
  67 NO2         0  0  0  0  1  2  0  0  0  0  0  0  0  0  0.00000000e+00
  68 O2H         0  1  0  0  0  2  0  0  0  0  0  0  0  0  0.00000000e+00
  69 OCN         0  0  0  1  1  1  0  0  0  0  0  0  0  0  0.00000000e+00
  70 OCS         0  0  0  1  0  1  0  1  0  0  0  0  0  0  0.00000000e+00
  71 PH2         0  2  0  0  0  0  0  0  0  0  0  0  1  0  0.00000000e+00
  72 c-SiC2      0  0  0  2  0  0  1  0  0  0  0  0  0  0  0.00000000e+00
  73 SiH2        0  2  0  0  0  0  1  0  0  0  0  0  0  0  0.00000000e+00
  74 SiNC        0  0  0  1  1  0  1  0  0  0  0  0  0  0  0.00000000e+00
  75 SiO2        0  0  0  0  0  2  1  0  0  0  0  0  0  0  0.00000000e+00
  76 C4          0  0  0  4  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  77 c-C3H       0  1  0  3  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  78 l-C3H       0  1  0  3  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  79 CH3         0  3  0  1  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  80 C2H2        0  2  0  2  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  81 NH3         0  3  0  0  1  0  0  0  0  0  0  0  0  0  0.00000000e+00
  82 SiCH2       0  2  0  1  0  0  1  0  0  0  0  0  0  0  0.00000000e+00
  83 C3N         0  0  0  3  1  0  0  0  0  0  0  0  0  0  0.00000000e+00
  84 C3O         0  0  0  3  0  1  0  0  0  0  0  0  0  0  0.00000000e+00
  85 C3P         0  0  0  3  0  0  0  0  0  0  0  0  1  0  0.00000000e+00
  86 C3S         0  0  0  3  0  0  0  1  0  0  0  0  0  0  0.00000000e+00
  87 H2CO        0  2  0  1  0  1  0  0  0  0  0  0  0  0  0.00000000e+00
  88 H2CS        0  2  0  1  0  0  0  1  0  0  0  0  0  0  0.00000000e+00
  89 HOOH        0  2  0  0  0  2  0  0  0  0  0  0  0  0  0.00000000e+00
  90 HSSH        0  2  0  0  0  0  0  2  0  0  0  0  0  0  0.00000000e+00
  91 H2SiO       0  2  0  0  0  1  1  0  0  0  0  0  0  0  0.00000000e+00
  92 HCCP        0  1  0  2  0  0  0  0  0  0  0  0  1  0  0.00000000e+00
  93 HCCSi       0  1  0  2  0  0  1  0  0  0  0  0  0  0  0.00000000e+00
  94 l-SiC3      0  0  0  3  0  0  1  0  0  0  0  0  0  0  0.00000000e+00
  95 SiH3        0  3  0  0  0  0  1  0  0  0  0  0  0  0  0.00000000e+00
  96 H2CN        0  2  0  1  1  0  0  0  0  0  0  0  0  0  0.00000000e+00
  97 C5          0  0  0  5  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  98 c-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
  99 l-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
 100 C4H         0  1  0  4  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
 101 CH4         0  4  0  1  0  0  0  0  0  0  0  0  0  0  0.00000000e+00
 102 HC3N        0  1  0  3  1  0  0  0  0  0  0  0  0  0  0.00000000e+00
 103 H2CCN       0  2  0  2  1  0  0  0  0  0  0  0  0  0  0.00000000e+00
