React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
NH         NO                     H          O          N2                                 4.700e-11  5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    800  3   899 1  1 
OH         SiO                    H          SiO2                                          2.000e-12  0.000e+00  0.000e+00 1.50e+00 0.00e+00 logn  4     10    300  3   903 1  1 
CO2        CN+                    NO         C2O+                                          2.250e-10  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3   921 1  1 
ClO        He+                    He         O          Cl+                                1.000e+00  2.110e-09  2.510e+00 2.00e+00 0.00e+00 logn  4     10    470  4  1185 1  1 
ClO        He+                    He         O          Cl+                                1.000e+00  2.110e-09  2.510e+00 2.00e+00 0.00e+00 logn  4    471    800  5  1185 2  1 
H2         He+                    H          H          He+                                3.000e-11  5.000e-01  5.200e+04 2.00e+00 0.00e+00 logn  4     10    800  3  1193 1  1 
H2O        PH+                    H          H2PO+                                         3.330e-01  8.190e-10  5.410e+00 2.00e+00 0.00e+00 logn  4     10    800  4  1332 1  1 
NH3        PH+                    H          PNH3+                                         3.330e-01  1.020e-09  3.650e+00 2.00e+00 0.00e+00 logn  4     10    800  4  1338 1  1 
CH4        PH+                    H          PCH4+                                         5.500e-11  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3  1340 1  1 
N          SiH+                   H          SiN+                                          2.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1351 1  1 
H2         SiO+                   H          HSiO+                                         3.200e-10  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3  1363 1  1 
H          SiS+                   HS         Si+                                           1.900e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1365 1  1 
H2         SiS+                   H          HSiS+                                         1.500e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1366 1  1 
H2         CHSi+                  H          CH2Si+                                        1.500e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1443 1  1 
C4H2       C2H3+                  H          C6H4+                                         3.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1488 1  1 
c-C6H6     C2H3+                  C2H2       C6H7+                                         1.600e-09  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3  1509 1  1 
Si         c-C3H2+                H2         l-SiC3+                                       2.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1522 1  1 
C4H2       c-C3H2+                H2         C7H2+                                         3.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1553 1  1 
CCH        C4H+                   H2         C6+                                           5.000e-01  1.210e-09  1.340e+00 2.00e+00 0.00e+00 logn  4     10    133  4  1589 1  1 
CCH        C4H+                   H2         C6+                                           5.000e-01  1.210e-09  1.340e+00 2.00e+00 0.00e+00 logn  4    134    800  5  1589 2  1 
SiO        HCO+                   CO         HSiO+                                         1.000e+00  1.180e-09  5.100e+00 2.00e+00 0.00e+00 logn  4     10    800  4  1708 1  1 
C          C5H+                   H          C6+                                           1.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1784 1  1 
H2         C5H+                   H          C5H2+                                         1.000e-17  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1787 1  1 
H2         HC4N+                  H          H2C4N+                                        1.000e+00  1.490e-09  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  5  1817 1  2 
C4H2       C4H3+                  H          C8H4+                                         5.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1867 1  1 
C          C5H2+                  H2         C6+                                           5.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1872 1  1 
C          CH2                    CH         CH                                            2.690e-12  0.000e+00  2.360e+04 2.00e+00 0.00e+00 logn  4     10    300  3  1945 1  1 
C          CN                     N          C2                                            4.980e-10  0.000e+00  1.810e+04 2.00e+00 0.00e+00 logn  4     10    300  3  1949 1  1 
