React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
H2         N+                     H          NH+                                           1.000e-09  0.000e+00  8.500e+01 2.00e+00 0.00e+00 logn  4    164    280  3  2668 2  1 
C2         S+                     C          CS+                                           8.100e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2723 1  1 
HCP        H3O+                   H2O        PCH2+                                         1.000e+00  1.480e-09  6.410e-01 2.00e+00 0.00e+00 logn  4     10     31  4  2759 1  1 
HCP        H3O+                   H2O        PCH2+                                         1.000e+00  1.480e-09  6.410e-01 2.00e+00 0.00e+00 logn  4     31    800  5  2759 2  1 
C2H2       PC2H+                  H          PC4H2+                                        9.100e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2837 1  1 
O2         S+                     O          SO+                                           2.000e-11  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3  2944 1  1 
HNC        Si+                    H          SiNC+                                         1.000e+00  1.050e-09  6.500e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2975 1  1 
C2H4       Si+                    H          SiC2H3+                                       1.000e-09  0.000e+00  0.000e+00 1.50e+00 0.00e+00 logn  4     10    300  3  2987 1  1 
H2O        C2+                    OH         C2H+                                          5.000e-01  8.650e-10  5.410e+00 2.00e+00 0.00e+00 logn  4     10    800  4  3008 1  1 
CH4        CH+                    H          H2         C2H2+                              1.400e-10  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3  3067 1  1 
H2         C3H+                   H          c-C3H2+                                       1.000e-12  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3  3175 1  1 
H2         HO2+                   O2         H3+                                           3.200e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  3334 1  1 
O          C2H2+                  CH         HOC+                                          5.000e-11  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  3370 1  1 
HNC        C2H2+                  CCH        HCNH+                                         2.600e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  3387 1  1 
C          C2H2                   H          l-C3H                                         7.800e-12  1.080e+00  0.000e+00 1.80e+00 2.00e+00 logn  4     10    300  3  3447 1  2 modified by Urso 2016/6/24 from loison et al. 2014
C5H3+      CN-                    H          CN         C5H2                               7.510e-08 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  3705 1  1 
C5H3+      C6H-                   H          C5H2       C6H                                7.510e-08 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  3711 1  1 
C7H3+      C7-                    H          C7         C7H2                               7.510e-08 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  3752 1  1 
CF+        C9-                    C          F          C9                                 7.510e-08 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  3816 1  1 
HC4S+      C8H-                   H          C4S        C8H                                7.510e-08 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  4154 1  1 
C10H2+     C7-                    H          C7         C10H                               7.510e-08 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  4251 1  1 
CH3        NH3                    NH2        CH4                                           9.550e-14  0.000e+00  4.890e+03 2.00e+00 0.00e+00 logn  4     10    800  3  4493 1  1 
Cl         H2                     H          HCl                                           2.520e-11  0.000e+00  2.214e+03 2.00e+00 0.00e+00 logn  4     10    355  3  4541 1  2 
Cl         H2                     H          HCl                                           2.860e-12  1.720e+00  1.544e+03 2.00e+00 0.00e+00 logn  4    355    800  3  4541 2  2 
C          C8N                    C3N        C6                                            4.000e-11  0.000e+00  0.000e+00 3.00e+00 0.00e+00 logn  4     10    300  3  4560 1  2 
C          HC3N                   H          C4N                                           1.000e-10  0.000e+00  0.000e+00 3.00e+00 0.00e+00 logn  4     10    300  3  4564 1  2 
H2         C8N+                   HNC        C7H+                                          3.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  4602 1  2 
H          CH2+                   H2         CH+                                           1.200e-09  0.000e+00  2.700e+03 2.00e+00 0.00e+00 logn  4     10    800  3  4694 1  1 
NO         HOCO+                  CO2        HNO+                                          1.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    800  3  4720 1  1 
O          N2H+                   N2         OH+                                           1.400e-10  0.000e+00  3.400e+03 2.00e+00 0.00e+00 logn  4     10    800  3  4723 1  1 
O2H        H2CO                   HCO        HOOH                                          3.300e-12  0.000e+00  5.870e+03 2.00e+00 0.00e+00 logn  4     10    800  3  4864 1  1 
H2         c-C3H                  H          c-C3H2                                        1.140e-11  0.000e+00  9.500e+02 2.00e+00 0.00e+00 logn  4     10    800  3  4914 1  1 
C2H2       C7N                    CCH        HC7N                                          2.190e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    800  3  4983 1  1 
CN         H+                     H          CN+                                           2.100e-09  0.000e+00  6.150e+03 2.00e+00 0.00e+00 logn  5     10    800  3  6087 1  1 
H2S        HS+                    HS         H2S+                                          5.000e-10  0.000e+00  1.000e+03 2.00e+00 0.00e+00 logn  5     10    800  3  6090 1  1 
C2H5       C3H8                   C2H6       C3H7                                          1.650e-15  3.650e+00  4.600e+03 2.50e+00 1.00e+02 logn  4     10    400  3  7008 1  1 
l-C3H2     C2H6                   CH2CCH     C2H5                                          1.900e-10  0.000e+00  0.000e+00 1.00e+01 1.00e+02 logn  4     10    400  3  7017 1  1 
C3H8       C4H3                   CH2CHC2H   C3H7                                          4.980e-16  2.300e+00  5.280e+03 1.00e+01 1.00e+02 logn  4     10    400  3  7056 1  1 
