React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
C          CO                     O          C2                                            1.000e-10  0.000e+00  5.280e+04 2.00e+00 0.00e+00 logn  4     10    300  3  1951 1  1 
C2H2       CH4+                   H          H2         l-C3H3+                            6.250e-11  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2257 1  1 
H2O        SiCH3+                 SiCH2      H3O+                                          1.000e+00  7.790e-10  5.410e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2276 1  1 
CO         SiH4+                  SiH3       HCO+                                          1.000e+00  8.470e-10  2.510e-01 2.00e+00 0.00e+00 logn  4     10    800  5  2278 1  1 
H2         SiH4+                  H          SiH5+                                         1.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2279 1  1 
S          C2H4+                  H          H2         HC2S+                              1.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2290 1  1 
C2H2       C2H4+                  CH3        l-C3H3+                                       3.150e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2297 1  1 
HC3N       C2H4+                  C2H3       HC3NH+                                        1.000e+00  1.330e-09  5.440e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2312 1  1 
CCH        c-C3H3+                H2         C5H2+                                         5.000e-01  1.260e-09  1.340e+00 2.00e+00 0.00e+00 logn  4     10    134  4  2344 1  1 
CCH        c-C3H3+                H2         C5H2+                                         5.000e-01  1.260e-09  1.340e+00 2.00e+00 0.00e+00 logn  4    134    800  5  2344 2  1 
C2H2       c-C3H3+                H2         C5H3+                                         1.000e-09  0.000e+00  0.000e+00 1.50e+00 0.00e+00 logn  4     10    300  3  2348 1  1 
c-C3H2     c-C3H3+                H          C6H4+                                         5.000e-01  1.140e-09  5.540e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2357 1  1 
CH2CCH     c-C3H3+                H          c-C6H5+                                       5.000e-01  1.250e-09  1.700e-01 2.00e+00 0.00e+00 logn  4     10    800  5  2367 1  1 
