React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
PO         HCO+                   CO         HPO+                                          1.000e+00  1.110e-09  3.400e+00 2.00e+00 0.00e+00 logn  4     10    800  4  1704 1  1 
SO         HCO+                   CO         HSO+                                          1.000e+00  1.020e-09  2.930e+00 2.00e+00 0.00e+00 logn  4     10    644  4  1710 1  1 
SO         HCO+                   CO         HSO+                                          1.000e+00  1.020e-09  2.930e+00 2.00e+00 0.00e+00 logn  4    644    800  5  1710 2  1 
H          CH5+                   H2         CH4+                                          1.500e-10  0.000e+00  4.810e+02 1.25e+00 0.00e+00 logn  4     10    300  3  1793 1  1 
C2H2       C3H4+                  H          C5H5+                                         4.900e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1847 1  1 
H          NH3                    H2         NH2                                           6.540e-13  2.760e+00  5.170e+03 2.00e+00 0.00e+00 logn  4     10    300  3  1965 1  1 
H2         CH3                    H          CH4                                           2.510e-13  0.000e+00  4.210e+03 2.00e+00 0.00e+00 logn  4     10    300  3  1989 1  1 
N          CH                     C          NH                                            3.030e-11  6.500e-01  1.210e+03 2.00e+00 0.00e+00 logn  4     10    800  3  1998 1  1 
CO         H2O+                   OH         HCO+                                          1.000e+00  9.860e-10  2.510e-01 2.00e+00 0.00e+00 logn  4     10    800  5  2113 1  1 
C2H4       c-C3H3+                H2         C5H5+                                         1.100e-09  0.000e+00  0.000e+00 1.50e+00 0.00e+00 logn  4     10    300  3  2364 1  1 
C4H2       c-C3H3+                H2         C7H3+                                         1.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2370 1  1 
H2         HNSi+                  H          HSiNH+                                        1.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2590 1  1 
H2         N+                     H          NH+                                           4.160e-10  0.000e+00  4.190e+01 1.30e+00 0.00e+00 logn  4     10    164  3  2667 1  2 
H2         N+                     H          NH+                                           1.000e-09  0.000e+00  8.500e+01 2.00e+00 0.00e+00 logn  4    164    280  3  2667 2  1 
C2         S+                     C          CS+                                           8.100e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2722 1  1 
HCP        H3O+                   H2O        PCH2+                                         1.000e+00  1.480e-09  6.410e-01 2.00e+00 0.00e+00 logn  4     10     30  4  2758 1  1 
HCP        H3O+                   H2O        PCH2+                                         1.000e+00  1.480e-09  6.410e-01 2.00e+00 0.00e+00 logn  4     30    800  5  2758 2  1 
C2H2       PC2H+                  H          PC4H2+                                        9.100e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2836 1  1 
O2         S+                     O          SO+                                           2.000e-11  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3  2943 1  1 
HNC        Si+                    H          SiNC+                                         1.000e+00  1.050e-09  6.500e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2974 1  1 
C2H4       Si+                    H          SiC2H3+                                       1.000e-09  0.000e+00  0.000e+00 1.50e+00 0.00e+00 logn  4     10    300  3  2986 1  1 
H2O        C2+                    OH         C2H+                                          5.000e-01  8.650e-10  5.410e+00 2.00e+00 0.00e+00 logn  4     10    800  4  3007 1  1 
CH4        CH+                    H          H2         C2H2+                              1.400e-10  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3  3066 1  1 
H2         C3H+                   H          c-C3H2+                                       1.000e-12  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    300  3  3174 1  1 
H2         HO2+                   O2         H3+                                           3.200e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  3333 1  1 
