R1	R2	R3	P1	P2	P3	P4	P5	A	B	C	D	E	Distr	Type	T_min	T_max	Formula	Number	n3	n4	comment	enthalpy	C_kjmol	enthalpy-C_kjmol
Si	C4H2		H	SiC4H				2.7e-10	-0.11	0.0	2.0	0.0	logn	4	10.0	300.0	3	838	1	1		64.04427271347475	0.0	64.04427271347475
Si	C6H2		H	SiC6H				2.7e-10	-0.11	0.0	2.0	0.0	logn	4	10.0	300.0	3	839	1	1		58.53978026937673	0.0	58.53978026937673
Si	C8H2		H	SiC8H				2.7e-10	-0.11	0.0	2.0	0.0	logn	4	10.0	300.0	3	840	1	1		56.104051223702236	0.0	56.104051223702236
Si	C2H4		H	H2CSiCH				2.4e-10	-0.12	0.0	2.0	0.0	logn	4	10.0	300.0	3	841	1	1		121.65061152212408	0.0	121.65061152212408
Si	CH3CHCH2		H	SiC3H5				2.4e-10	-0.12	0.0	2.0	0.0	logn	4	10.0	300.0	3	842	1	1		132.9497115575584	0.0	132.9497115575584
NH	NO		H	O	N2			4.7e-11	0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	899	1	1		14.346179427786753	0.0	14.346179427786753
OH	SiO		H	SiO2				2e-12	0.0	0.0	1.5	0.0	logn	4	10.0	300.0	3	903	1	1		14.91588671621791	0.0	14.91588671621791
CO2	CN+		NO	C2O+				2.25e-10	0.0	0.0	1.25	0.0	logn	4	10.0	300.0	3	921	1	1		138.05079589618379	0.0	138.05079589618379
H2O	PH+		H	H2PO+				0.333	8.19e-10	5.41	2.0	0.0	logn	4	10.0	800.0	4	1332	1	1		53.279152160002575	0.044980958099999996	53.234171201902576
NH3	PH+		H	PNH3+				0.333	1.02e-09	3.65	2.0	0.0	logn	4	10.0	800.0	4	1338	1	1		21.899727750085773	0.030347596499999997	21.869380153585773
CH4	PH+		H	PCH4+				5.5e-11	0.0	0.0	1.25	0.0	logn	4	10.0	300.0	3	1340	1	1		182.7457386262599	0.0	182.7457386262599
N	SiH+		H	SiN+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1351	1	1		110.21949608603413	0.0	110.21949608603413
H2	SiO+		H	HSiO+				3.2e-10	0.0	0.0	1.25	0.0	logn	4	10.0	300.0	3	1363	1	1		97.89274087847936	0.0	97.89274087847936
H	SiS+		HS	Si+				1.9e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1365	1	1		12.627238191716344	0.0	12.627238191716344
H2	SiS+		H	HSiS+				1.5e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1366	1	1		96.68104628123085	0.0	96.68104628123085
H2	CHSi+		H	CH2Si+				1.5e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1443	1	1		156.48156549154587	0.0	156.48156549154587
C4H2	C2H3+		H	C6H4+				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1488	1	1		19.383464111459514	0.0	19.383464111459514
Si	c-C3H2+		H2	l-SiC3+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1522	1	1		113.6820112634988	0.0	113.6820112634988
C4H2	c-C3H2+		H2	C7H2+				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1553	1	1		25.99537179879952	0.0	25.99537179879952
CCH	C4H+		H2	C6+				0.5	1.21e-09	1.34	2.0	0.0	logn	4	10.0	134.0	4	1589	1	1		127.52393712275273	0.0111413094	127.51279581335272
CCH	C4H+		H2	C6+				0.5	1.21e-09	1.34	2.0	0.0	logn	4	134.0	800.0	5	1589	2	1		127.52393712275273	0.0111413094	127.51279581335272
SiO	HCO+		CO	HSiO+				1.0	1.18e-09	5.1	2.0	0.0	logn	4	10.0	800.0	4	1708	1	1		55.56695264795332	0.042403490999999995	55.52454915695332
C	C5H+		H	C6+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1784	1	1		248.75485429907656	0.0	248.75485429907656
H2	C5H+		H	C5H2+				1e-17	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1787	1	1		169.78022284968603	0.0	169.78022284968603
H2	HC4N+		H	H2C4N+				1.0	1.49e-09	0.0	2.0	0.0	logn	4	10.0	300.0	5	1817	1	2		17.994306442192247	0.0	17.994306442192247
C4H2	C4H3+		H	C8H4+				5e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1867	1	1		67.81257438568262	0.0	67.81257438568262
C	C5H2+		H2	C6+				5e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	1872	1	1		78.97463144946516	0.0	78.97463144946516
C	CO		O	C2				1e-10	0.0	52800.0	2.0	0.0	logn	4	10.0	300.0	3	1951	1	1		466.0158806426259	439.00084799999996	27.015032642625954
C2H2	CH4+		H	H2	l-C3H3+			6.25e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2257	1	1		27.581541489646405	0.0	27.581541489646405
H2O	SiCH3+		SiCH2	H3O+				1.0	7.79e-10	5.41	2.0	0.0	logn	4	10.0	800.0	4	2276	1	1		182.93853435715323	0.044980958099999996	182.89355339905322
CO	SiH4+		SiH3	HCO+				1.0	8.47e-10	0.251	2.0	0.0	logn	4	10.0	800.0	5	2278	1	1		44.81479418859525	0.0020869169099999997	44.81270727168525
H2	SiH4+		H	SiH5+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2279	1	1		49.82143377141777	0.0	49.82143377141777
S	C2H4+		H	H2	HC2S+			1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2290	1	1		128.466150379488	0.0	128.466150379488
C2H2	C2H4+		CH3	l-C3H3+				3.15e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2297	1	1		34.71367576334391	0.0	34.71367576334391
HC3N	C2H4+		C2H3	HC3NH+				1.0	1.33e-09	5.44	2.0	0.0	logn	4	10.0	800.0	4	2312	1	1		14.282143477852534	0.0452303904	14.236913087452534
CCH	c-C3H3+		H2	C5H2+				0.5	1.26e-09	1.34	2.0	0.0	logn	4	10.0	134.0	4	2344	1	1		44.420712122375825	0.0111413094	44.40957081297582
CCH	c-C3H3+		H2	C5H2+				0.5	1.26e-09	1.34	2.0	0.0	logn	4	134.0	800.0	5	2344	2	1		44.420712122375825	0.0111413094	44.40957081297582
C2H2	c-C3H3+		H2	C5H3+				1e-09	0.0	0.0	1.5	0.0	logn	4	10.0	300.0	3	2348	1	1		49.95780277711711	0.0	49.95780277711711
c-C3H2	c-C3H3+		H	C6H4+				0.5	1.14e-09	5.54	2.0	0.0	logn	4	10.0	800.0	4	2357	1	1		41.80757251472823	0.046061831399999996	41.761510683328225
CH2CCH	c-C3H3+		H	c-C6H5+				0.5	1.25e-09	0.17	2.0	0.0	logn	4	10.0	800.0	5	2367	1	1		53.737215303454015	0.0014134497	53.73580185375401
HCCNC	C+		CCN	C2H+				0.2	1.87e-09	4.17	2.0	0.0	logn	4	10.0	800.0	4	2381	1	1		84.31788116194681	0.0346710897	84.28321007224682
HNCCC	C+		CH	C3N+				0.25	2.04e-09	7.29	2.0	0.0	logn	4	10.0	800.0	4	2386	1	1		67.2209231666484	0.0606120489	67.1603111177484
CH2PH	HCO+		CO	PCH4+				1.0	1.36e-09	1.26	2.0	0.0	logn	4	10.0	119.0	4	2493	1	1		36.362468884807264	0.0104761566	36.351992728207264
CH2PH	HCO+		CO	PCH4+				1.0	1.36e-09	1.26	2.0	0.0	logn	4	119.0	800.0	5	2493	2	1		36.362468884807264	0.0104761566	36.351992728207264
H2	HCP+		H	PCH2+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2550	1	1		30.715380011097274	0.0	30.715380011097274
OH	HNC+		CN	H2O+				1.0	7.52e-10	5.5	2.0	0.0	logn	4	10.0	800.0	4	2561	1	1		27.933954242372355	0.045729254999999996	27.888224987372354
CO	HNSi+		SiN	HCO+				1.0	7.93e-10	0.251	2.0	0.0	logn	4	10.0	800.0	5	2589	1	1		113.63280387606054	0.0020869169099999997	113.63071695915053
H2O	HNSi+		SiN	H3O+				1.0	7.79e-10	5.41	2.0	0.0	logn	4	10.0	800.0	4	2591	1	1		17.129637596407974	0.044980958099999996	17.084656638307976
H2O	P+		H	HPO+				0.5	8.22e-10	5.41	2.0	0.0	logn	4	10.0	800.0	4	2716	1	1		72.22140096304075	0.044980958099999996	72.17642000494075
P	H3O+		H2	HPO+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2741	1	1		26.76464335739745	0.0	26.76464335739745
S2	H3O+		H2O	HS2+				2e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2747	1	1		31.97275594914343	0.0	31.97275594914343
SiO	H3O+		H2O	HSiO+				1.0	1.35e-09	5.1	2.0	0.0	logn	4	10.0	800.0	4	2750	1	1		152.07011892760588	0.042403490999999995	152.0277154366059
CCO	H3O+		H2O	C2HO+				3.32e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	2753	1	1		86.65436367436187	0.0	86.65436367436187
HNSi	H3O+		H2O	HSiNH+				1.0	1.52e-09	0.377	2.0	0.0	logn	4	10.0	11.0	4	2761	1	1		74.72563981068883	0.0031345325699999997	74.72250527811883
HNSi	H3O+		H2O	HSiNH+				1.0	1.52e-09	0.377	2.0	0.0	logn	4	11.0	800.0	5	2761	2	1		74.72563981068883	0.0031345325699999997	74.72250527811883
CH2PH	H3O+		H2O	PCH4+				1.0	1.57e-09	1.26	2.0	0.0	logn	4	10.0	119.0	4	2787	1	1		132.86563516460907	0.0104761566	132.85515900800908
CH2PH	H3O+		H2O	PCH4+				1.0	1.57e-09	1.26	2.0	0.0	logn	4	119.0	800.0	5	2787	2	1		132.86563516460907	0.0104761566	132.85515900800908
C	SiC2H+		H	l-SiC3+				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2838	1	1		212.42943122192912	0.0	212.42943122192912
CH4	S+		H	H3CS+				1.4e-10	0.0	0.0	1.25	0.0	logn	4	10.0	300.0	3	2962	1	1		47.860245771323285	0.0	47.860245771323285
C4H2	S+		CS	l-C3H2+				1.2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2964	1	1		120.02316634305151	0.0	120.02316634305151
C4H2	S+		HS	C4H+				1.6e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	2965	1	1		194.16684565591598	0.0	194.16684565591598
NH	Si+		H	SiN+				1.0	9.01e-10	4.4	2.0	0.0	logn	4	10.0	800.0	4	2968	1	1		117.10681323065917	0.036583404	117.07022982665917
H2O	Si+		H	HSiO+				1.0	8.37e-10	5.41	2.0	0.0	logn	4	10.0	800.0	4	2972	1	1		139.68641163233093	0.044980958099999996	139.64143067423092
