React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
HNO        CRP                    HNO+       e-                                            1.000e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    76 1  1 
HSS        CRP                    S          HS                                            1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    79 1  1 
N2O        CRP                    N          NO                                            1.500e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    80 1  1 
NH2        CRP                    H          NH                                            8.000e+01  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    82 1  1 
NH2        CRP                    NH2+       e-                                            6.500e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    83 1  1 
NO2        CRP                    O          NO                                            1.500e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    84 1  1 
O2H        CRP                    O          OH                                            7.500e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    85 1  1 
O2H        CRP                    H          O2                                            7.500e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    86 1  1 
OCN        CRP                    O          CN                                            1.500e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    87 1  1 
OCS        CRP                    S          CO                                            5.350e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    88 1  1 
OCS        CRP                    OCS+       e-                                            1.440e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    89 1  1 
SO2        CRP                    O          SO                                            1.880e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    95 1  1 
C2H2       CRP                    H          CCH                                           5.150e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    96 1  1 
C2H2       CRP                    C2H2+      e-                                            1.310e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    97 1  1 
c-C3H      CRP                    H          C3                                            5.000e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1    98 1  1 
l-C3H      CRP                    H          C3                                            5.000e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1    99 1  1 
C3N        CRP                    C2         CN                                            1.750e+03  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  2  -9999   9999  1   100 1  1 
