React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
C          SiC2H+                 H          l-SiC3+                                       3.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2839 1  1 
NH         Si+                    H          SiN+                                          1.000e+00  9.010e-10  4.400e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2969 1  1 
H2O        Si+                    H          HSiO+                                         1.000e+00  8.370e-10  5.410e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2973 1  1 
HCN        Si+                    H          SiNC+                                         1.000e+00  1.000e-09  6.610e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2974 1  1 
c-C3H      Si+                    H          l-SiC3+                                       1.000e+00  1.290e-09  4.130e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2978 1  1 
l-C3H      Si+                    H          l-SiC3+                                       1.000e+00  1.360e-09  5.300e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2979 1  1 
CH3        Si+                    H          CH2Si+                                        1.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2981 1  1 
NH3        Si+                    H          HSiNH+                                        1.000e+00  1.040e-09  3.650e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2982 1  1 
C4H        Si+                    H          SiC4+                                         1.000e+00  1.480e-09  1.130e+00 2.00e+00 0.00e+00 logn  4     10     95  4  2986 1  1 
C4H        Si+                    H          SiC4+                                         1.000e+00  1.480e-09  1.130e+00 2.00e+00 0.00e+00 logn  4     95    800  5  2986 2  1 
C4H2       Si+                    SiH        C4H+                                          1.600e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2989 1  1 
Si         C3H+                   H          l-SiC3+                                       2.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  3174 1  1 
O2         Si+                    O          SiO+                                          1.000e-13  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    800  3  4747 1  1 
H2O        SiH+                   Si         H3O+                                          8.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    800  3  4748 1  1 
SiS        S+                     S          SiS+                                          1.000e+00  1.400e-09  2.140e+00 2.00e+00 0.00e+00 logn  5     10    344  4  5247 1  1 
SiS        S+                     S          SiS+                                          1.000e+00  1.400e-09  2.140e+00 2.00e+00 0.00e+00 logn  5    344    800  5  5247 2  1  
